"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","45,585","9.1"
"CENSUS","2017","YEAR","","STATE","OREGON","41","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","86,240","7.6"
"CENSUS","2017","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","228,588","9.6"
"CENSUS","2012","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","48,225","3.6"
"CENSUS","2012","YEAR","","STATE","OREGON","41","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","99,305","3.7"
"CENSUS","2012","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","256,036","6.0"
"CENSUS","2007","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","46,934",""
"CENSUS","2007","YEAR","","STATE","OREGON","41","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","106,320",""
"CENSUS","2007","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","238,428",""
"CENSUS","2002","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","49,390",""
"CENSUS","2002","YEAR","","STATE","OREGON","41","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","122,845",""
"CENSUS","2002","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","262,528",""
"SURVEY","1996","JAN","","STATE","OREGON","41","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","17,000",""
"SURVEY","1996","JAN","","STATE","WASHINGTON","53","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","20,000",""
"SURVEY","1996","APR","","STATE","OREGON","41","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","21,000",""
"SURVEY","1996","APR","","STATE","WASHINGTON","53","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","25,000",""
"SURVEY","1995","JAN","","STATE","OREGON","41","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","16,000",""
"SURVEY","1995","JAN","","STATE","WASHINGTON","53","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","29,000",""
"SURVEY","1995","APR","","STATE","OREGON","41","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","19,000",""
"SURVEY","1995","APR","","STATE","WASHINGTON","53","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","37,000",""
"SURVEY","1995","JUL","","STATE","OREGON","41","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","50,000",""
"SURVEY","1995","JUL","","STATE","WASHINGTON","53","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","53,000",""
"SURVEY","1995","OCT","","STATE","OREGON","41","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","31,000",""
"SURVEY","1995","OCT","","STATE","WASHINGTON","53","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","43,000",""
"SURVEY","1994","JAN","","STATE","OREGON","41","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","12,000",""
"SURVEY","1994","JAN","","STATE","WASHINGTON","53","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","27,000",""
"SURVEY","1994","APR","","STATE","OREGON","41","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","21,000",""
"SURVEY","1994","APR","","STATE","WASHINGTON","53","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","32,000",""
"SURVEY","1994","JUL","","STATE","OREGON","41","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","33,000",""
"SURVEY","1994","JUL","","STATE","WASHINGTON","53","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","64,000",""
"SURVEY","1994","OCT","","STATE","OREGON","41","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","22,000",""
"SURVEY","1994","OCT","","STATE","WASHINGTON","53","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","53,000",""
"SURVEY","1993","JAN","","STATE","OREGON","41","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","12,000",""
"SURVEY","1993","JAN","","STATE","WASHINGTON","53","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","18,000",""
"SURVEY","1993","APR","","STATE","OREGON","41","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","23,000",""
"SURVEY","1993","APR","","STATE","WASHINGTON","53","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","36,000",""
"SURVEY","1993","JUL","","STATE","OREGON","41","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","38,000",""
"SURVEY","1993","JUL","","STATE","WASHINGTON","53","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","54,000",""
"SURVEY","1993","OCT","","STATE","OREGON","41","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","17,000",""
"SURVEY","1993","OCT","","STATE","WASHINGTON","53","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","39,000",""
"SURVEY","1992","JAN","","STATE","OREGON","41","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","14,000",""
"SURVEY","1992","JAN","","STATE","WASHINGTON","53","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","24,000",""
"SURVEY","1992","APR","","STATE","OREGON","41","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","26,000",""
"SURVEY","1992","APR","","STATE","WASHINGTON","53","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","28,000",""
"SURVEY","1992","JUL","","STATE","OREGON","41","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","30,000",""
"SURVEY","1992","JUL","","STATE","WASHINGTON","53","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","45,000",""
"SURVEY","1992","OCT","","STATE","OREGON","41","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","20,000",""
"SURVEY","1992","OCT","","STATE","WASHINGTON","53","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","30,000",""
"SURVEY","1991","APR","","STATE","OREGON","41","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","18,000",""
"SURVEY","1991","APR","","STATE","WASHINGTON","53","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","46,000",""
"SURVEY","1991","JUL","","STATE","OREGON","41","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","43,000",""
"SURVEY","1991","JUL","","STATE","WASHINGTON","53","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","49,000",""
"SURVEY","1991","OCT","","STATE","OREGON","41","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","34,000",""
"SURVEY","1991","OCT","","STATE","WASHINGTON","53","","","","","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","55,000",""
